Date,Commodity No,Commodity ,UN code ,Country Name,Import Value (BD),Import Value (USA $),Import Weight (KG),Import Quantity,UM
11/1/2020,85115000,OTHER GENERATORS,GB,UNITED KINGDOM,1027.234182,2732.005803,10000,1,NO
11/1/2020,85115000,OTHER GENERATORS,IN,INDIA,36413.98537,96845.70578,25986.371,7,NO
11/1/2020,85115000,OTHER GENERATORS,IT,ITALY,287.8286974,765.5018547,3,1,NO
11/1/2020,85118000,OTHER EQUIPMENT FOR STARTING ENGINES,CN,CHINA,69.90878524,185.9276203,7.926,7.926,KG
11/1/2020,85118000,OTHER EQUIPMENT FOR STARTING ENGINES,JP,JAPAN,380.964165,1013.202567,110.132,110.132,KG
11/1/2020,85118000,OTHER EQUIPMENT FOR STARTING ENGINES,KR,REPUBLIC OF KOREA,64.1608074,170.6404452,61.998,61.998,KG
11/1/2020,85119000,PARTS FOR ELECTRIC IGNITION STARTING EQUIPMENT,DK,DENMARK,14.76794554,39.2764509,2,2,KG
11/1/2020,85119000,PARTS FOR ELECTRIC IGNITION STARTING EQUIPMENT,TH,THAILAND,15.18942496,40.39740681,3.7,3.7,KG
11/1/2020,85121000,LIGHTING OR VISUAL SIGNALING EQUIPMENT FOR BICYCLES,CN,CHINA,596.3150706,1585.944337,690.395,246,NO
11/1/2020,85121000,LIGHTING OR VISUAL SIGNALING EQUIPMENT FOR BICYCLES,TW,TAIWAN,1529.524559,4067.884464,1468,177,NO
11/1/2020,85122000,OTHER LIGHTING OR VISUAL SIGNALING EQUIPMENT FOR CARS,AT,AUSTRIA,260.8655082,693.7912452,4.164,1.164,NO
11/1/2020,85122000,OTHER LIGHTING OR VISUAL SIGNALING EQUIPMENT FOR CARS,BE,BELGIUM,1054.122148,2803.51635,12.62,37,NO
11/1/2020,85122000,OTHER LIGHTING OR VISUAL SIGNALING EQUIPMENT FOR CARS,CA,CANADA,567.6755521,1509.775405,1.358,1,NO
11/1/2020,85122000,OTHER LIGHTING OR VISUAL SIGNALING EQUIPMENT FOR CARS,ES,SPAIN,658.0780439,1750.207564,99.461,28,NO
11/1/2020,85122000,OTHER LIGHTING OR VISUAL SIGNALING EQUIPMENT FOR CARS,FR,FRANCE,551.0853731,1465.652588,80.891,18,NO
11/1/2020,85122000,OTHER LIGHTING OR VISUAL SIGNALING EQUIPMENT FOR CARS,HU,HUNGARY,562.1838374,1495.16978,125.467,90,NO
11/1/2020,85122000,OTHER LIGHTING OR VISUAL SIGNALING EQUIPMENT FOR CARS,ID,INDONESIA,558.4399899,1485.212739,91.533,11,NO
